STREETNUMBER,STREET,TOTALUNITS,BUSINESSOPERATOR,TOTALOUTSTANDING,COORDINATES
826,E PENDER ST,6,Bernhard Nachtwey,1,"[49.2801291, -123.0866568]"
832,E PENDER ST,20,George Jang,29,"[49.2801242, -123.0864831]"
5840,EAST BOULEVARD,22,Kok Wong & Grace Wong,4,"[49.2327782, -123.1550233]"
2212,ETON ST,10,Jasmine Investments (1994) Co Ltd,2,"[49.2875072, -123.0595545]"
2880,FIR ST,8,Manhattan Corp Ltd,4,"[49.259991, -123.1411382]"
2256,FRANKLIN ST,18,Castle Harbour Holdings Ltd,1,"[49.2817549, -123.0585977]"
6124,FRASER ST,15,Gajindera K Sodhi & Karnail S Thind,2,"[49.2288951, -123.0905092]"
6462,FRASER ST,16,6462 Fraser Developments Inc,3,"[49.2259873, -123.0907299]"
8796,FREMLIN ST,13,Shiu Wah Lam & Betty Wai Hing Lam,10,"[49.2058414, -123.1274862]"
341,GORE AV,27,Provincial Rental Housing Corporation,4,"[49.281441, -123.0975145]"
445,GORE AV,24,George Fu,2,"[49.2803907, -123.0973646]"
609,GORE AV,51,Fan Tower South Inc,3,"[49.2793916, -123.0972018]"
1503,GRANDVIEW HWY NORTH,24,Project 24 Garden Apartments Ltd,10,"[49.2650484, -123.0735894]"
1046,GRANVILLE ST,82,Regal Eighty Management Corp,27,"[49.27871400000001, -123.1237969]"
1060,GRANVILLE ST,80,1060 Granville Street Ventures Inc,9,"[49.278567, -123.1240177]"
1125,GRANVILLE ST,73,0887678 BC Ltd,83,"[49.2778986, -123.1250748]"
1161,GRANVILLE ST,93,Provincial Rental Housing Corporation,6,"[49.2775622, -123.1255815]"
7133,GRANVILLE ST,161,Wall & Redekop Corp Ltd,5,"[49.2202619, -123.1401114]"
1812,GREER AV,34,Karl Stein & Ben Tessler,1,"[49.2735164, -123.1463751]"
1540,HARO ST,27,Suffolk Services Ltd,2,"[49.28833849999999, -123.1327533]"
1629,HARO ST,40,Shelmarjay Holdings Ltd,1,"[49.2888752, -123.1335383]"
1078,HARWOOD ST,27,John Petz,7,"[49.278911, -123.1332404]"
1225,HARWOOD ST,6,James F Wong & Mary S Wong,2,"[49.28052899999999, -123.1356679]"
1330,HARWOOD ST,83,Westsea Construction Ltd,5,"[49.2818221, -123.1378319]"
8666,HEATHER ST,23,Fairbridge Enterprises Ltd,5,"[49.2072842, -123.1241047]"
1119,HORNBY ST,87,Kenstone Properties Ltd,11,"[49.2793836, -123.1267342]"
901,JERVIS ST,70,Evergreen Agencies Ltd & Brown Bros Holdings Ltd,2,"[49.2862743, -123.1296984]"
1075,JERVIS ST,37,Zoro Holdings Ltd,10,"[49.2842661, -123.1327271]"
1305,JERVIS ST,23,Gurcharn Singh Grewal (Gurcharn Grewal),1,"[49.2821056, -123.1360178]"
222,KEEFER ST,45,Betty S B Wu & Qi Da Wang,4,"[49.2794551, -123.0988659]"
727,KEEFER ST,12,Percy Hoy et al (Percy Hoy),40,"[49.2793205, -123.0891316]"
797,KEEFER ST,6,John Thomas and Daryl Gouthro,1,"[49.279296, -123.0874179]"
1461,KINGSWAY,7,Amaro D Ferreira (Amaro Ferreira),1,"[49.24946449999999, -123.0743738]"
2535,KINGSWAY,10,Superior Holdings Co Ltd,1,"[49.239867, -123.0535189]"
3331,KINGSWAY,6,Andy Su & Yi Su & So Han Su,1,"[49.2337425, -123.0347649]"
7884,KNIGHT ST,13,Tien D Tran & Truong T Tran & Lan T Tran,10,"[49.2129148, -123.0770811]"
405,KOOTENAY ST,20,362818 BC Ltd,4,"[49.28109920000001, -123.0257162]"
1475,LABURNUM ST,26,A M R Investments Ltd,1,"[49.272624, -123.1514136]"
375,MAIN ST,76,Affordable Housing Advisory Association,1,"[49.2815947, -123.0996573]"
928,MAIN ST,42,928 Main St Holdings Ltd,10,"[49.2762616, -123.0996975]"
956,MAIN ST,22,Philip Swartz & Shirley Swartz,2,"[49.27601989999999, -123.0997718]"
1012,MAIN ST,31,Philip Swartz & Shirley Swartz,23,"[49.275472, -123.0998052]"
2333,MAIN ST,8,Nay Hee Chan (Nay Chan),2,"[49.26411539999999, -123.1010307]"
2545,MAIN ST,39,Choo Brothers Investment Ltd,7,"[49.2628085, -123.1009841]"
2603,MAIN ST,12,Shirleys Holdings Ltd & Hollenberg Holdings Ltd,6,"[49.2619587, -123.1010298]"
2703,MAIN ST,18,David Kokol et al (David Kokol),5,"[49.2609274, -123.1012692]"
3516,MAIN ST,10,Nada Kokan,2,"[49.253622, -123.1008681]"
3995,MAIN ST,7,Fung K Chow (Fung Chow),2,"[49.24964480000001, -123.1010786]"
4339,MAIN ST,11,Victor Wittenberg & Ervin Wittenberg,2,"[49.2466507, -123.1012198]"
4453,MAIN ST,79,Kevington Building Corporation Ltd,2,"[49.2451258, -123.1014647]"
4875,MAIN ST,14,S W Wong (S Wong),1,"[49.2409932, -123.1014679]"
1835,MCLEAN DRIVE,33,Sha Enterprises Ltd,2,"[49.2687065, -123.0754462]"
8631,MONTCALM ST,10,Triumphant Holdings Ltd,1,"[49.2081722, -123.1364092]"
225,N GARDEN DRIVE,17,Great Central Ma's Investments Ltd,2,"[49.2867038, -123.0577496]"
112,NANAIMO ST,14,Donald Nip,1,"[49.2834637, -123.0565292]"
1420,NAPIER ST,6,0924108 BC Ltd,1,"[49.2749108, -123.0754704]"
1058,NELSON ST,71,Lord Nelson Suites Inc,2,"[49.2821236, -123.1277207]"
1331,NELSON ST,16,Goodhope Holdings Ltd,1,"[49.2850115, -123.1318468]"
1735,NELSON ST,62,Shelmarjay Holdings Ltd,5,"[49.2888371, -123.1377618]"
2333,OXFORD ST,50,Great Central Ma's Investments Ltd,3,"[49.2857153, -123.0565813]"
2625,OXFORD ST,5,Grant Hanson Executor,2,"[49.2856989, -123.0512777]"
1836,PARKER ST,5,Hanna Hadikin & Marlene Holt,1,"[49.2757295, -123.0667999]"
1254,PENDRELL ST,87,Pendrellis Society,1,"[49.2834517, -123.1338068]"
1754,PENDRELL ST,6,0714395 BC Ltd,1,"[49.2875353, -123.1401069]"
4195,PERRY ST,10,Hoa Su San & Huong Thi Vu,5,"[49.24793, -123.0713083]"
134,POWELL ST,57,UVHS Urban Vision Housing Society,9,"[49.2831023, -123.1010058]"
259,POWELL ST,35,259 Powell Holdings Ltd,7,"[49.2831908, -123.098722]"
316,POWELL ST,79,0781178 BC Ltd,106,"[49.2831685, -123.0973204]"
326,POWELL ST,39,Cheng Hing Kai (Cheng Kai),3,"[49.2831657, -123.0971341]"
346,POWELL ST,14,0773184 BC Ltd,31,"[49.2831588, -123.0966761]"
376,POWELL ST,50,The Lookout Emergency Aid Society,33,"[49.2831479, -123.0959569]"
396,POWELL ST,110,The Lookout Emergency Aid Society,35,"[49.28303469999999, -123.0958037]"
403,POWELL ST,24,Provincial Rental Housing Corporation,1,"[49.28319579999999, -123.0950615]"
437,POWELL ST,8,Ming Sun Benevolent Society,6,"[49.2831289, -123.0944529]"
556,POWELL ST,22,Deborah Jane Harden & Robert William Harden,2,"[49.2830482, -123.0920383]"
568,POWELL ST,17,Mario Laudisio & Gianni Laudisio,3,"[49.2830421, -123.0918587]"
1895,POWELL ST,29,Nicel Enterprises Ltd,1,"[49.2848534, -123.0657614]"
215,PRINCESS AV,46,Raincity Housing And Support Society,19,"[49.2825596, -123.0914481]"
230,PRINCESS AV,13,0803291 BC Ltd,17,"[49.2830332, -123.0913795]"
375,PRINCESS AV,46,Provincial Rental Housing Corporation,3,"[49.2812474, -123.0915162]"
3122,QUEBEC ST,10,0780623 BC Ltd,1,"[49.2574803, -123.1031743]"
440,RICHARDS ST,10,Trinity Holdings Ltd,2,"[49.2834023, -123.1128463]"
518,RICHARDS ST,148,Provincial Rental Housing Corporation,65,"[49.2829093, -123.1134402]"
1030,ROBSON ST,8,Jack Eng,3,"[49.2837596, -123.1235455]"
1393,ROBSON ST,31,Global Investments House Inc,1,"[49.2878843, -123.1297199]"
1100,SALSBURY DRIVE,12,629623 BC Ltd,6,"[49.27479839999999, -123.0675696]"
695,SE MARINE DRIVE,79,Vohra Enterprises Ltd,2,"[49.2108399, -123.1014294]"
8655,SELKIRK ST,32,Rocky International Investment Ltd,1,"[49.2073693, -123.1333477]"
8691,SELKIRK ST,10,Juan Hui Lui (Juan Lui),5,"[49.2073343, -123.133349]"
4580,SIDNEY ST,10,John & Allan Enterprises Ltd,2,"[49.2445313, -123.0636287]"
2490,STEPHENS ST,30,Jim Bonnis,2,"[49.264331, -123.1663731]"
784,THURLOW ST,44,Manhattan Co-operative Housing Association,6,"[49.2846929, -123.1243747]"
2225,TRIUMPH ST,42,2225 Triumph Apartments Ltd,1,"[49.2839136, -123.0591937]"
2228,TRIUMPH ST,21,Linda Conzatti,3,"[49.2837624, -123.0591527]"
468,UNION ST,16,0853871 BC Ltd,2,"[49.2775875, -123.0939073]"
1775,VENABLES ST,8,Wing Kuo Lee (Wing Lee),3,"[49.2766735, -123.0691601]"
